,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,54.00,46.00,18740.74,0.48,0.00,-107.86,-497.652,7.876
,Mixed / non conventional,72.00,65.00,46.00,38.00,59340.49,1.10,0.00,181.63,-485.534,7.855
,Mixed / non conventional,72.00,65.00,38.00,30.00,141062.52,1.10,0.00,32.49,-504.967,7.855
,Mixed / non conventional,72.00,65.00,30.00,21.00,303385.34,0.09,0.00,-154.13,-632.246,7.972
,Mixed / non conventional,72.00,65.00,21.00,13.00,826147.69,0.11,0.00,186.82,-878.208,7.972
,Mixed / non conventional,72.00,65.00,13.00,5.00,3008951.75,0.20,0.00,-268.18,-2061.414,7.967
,Mixed / non conventional,72.00,65.00,68.00,69.00,2796.33,0.94,0.00,-19.23,-582.228,7.849
,Mixed / non conventional,72.00,65.00,43.00,51.00,50820.49,0.87,0.00,-0.45,814.634,7.845
,Mixed / non conventional,72.00,65.00,51.00,59.00,12201.84,0.88,0.00,1.06,1004.548,7.845
,Mixed / non conventional,72.00,65.00,59.00,67.00,3009.70,0.85,0.00,-29.92,791.774,7.862
,Mixed / non conventional,72.00,65.00,67.00,58.00,-429.81,0.98,0.00,-213.61,122.921,7.862
,Mixed / non conventional,72.00,65.00,58.00,49.00,14320.11,0.60,0.00,-143.99,-935.545,7.833
,Mixed / non conventional,72.00,65.00,49.00,42.00,132459.34,0.58,0.00,269.27,-1465.784,7.833
,Mixed / non conventional,72.00,65.00,60.00,68.00,-14450.01,0.57,0.00,241.39,601.384,7.845
,Mixed / non conventional,72.00,65.00,68.00,59.00,19155.29,0.61,0.00,39.17,153.309,7.845
,Mixed / non conventional,72.00,65.00,59.00,50.00,5441.59,0.20,0.00,-143.75,-464.984,7.834
,Mixed / non conventional,72.00,65.00,50.00,41.00,48269.17,0.20,0.00,-119.30,-710.401,7.834
,Mixed / non conventional,72.00,65.00,53.00,61.00,3368.11,0.16,0.00,265.49,540.289,7.850
,Mixed / non conventional,72.00,65.00,61.00,69.00,-1580.42,0.16,0.00,-60.68,478.694,7.850
,Mixed / non conventional,72.00,65.00,69.00,60.00,-79.68,0.03,0.00,-221.50,-19.824,7.816
,Mixed / non conventional,72.00,65.00,60.00,51.00,2152.23,0.36,0.00,279.67,-248.611,7.816
,Mixed / non conventional,72.00,65.00,51.00,42.00,28168.44,0.58,0.00,-118.32,-482.450,7.875
,Mixed / non conventional,72.00,65.00,42.00,35.00,203993.41,0.57,0.00,128.57,-981.484,7.875
,Mixed / non conventional,72.00,65.00,35.00,28.00,338867.44,0.44,0.00,6.24,-848.238,7.838
,Mixed / non conventional,72.00,65.00,54.00,62.00,1728.12,0.18,0.00,108.54,429.681,7.891
,Mixed / non conventional,72.00,65.00,62.00,70.00,-614.42,0.16,0.00,74.01,411.547,7.891
,Mixed / non conventional,72.00,65.00,70.00,61.00,-68.77,0.19,0.00,-53.38,-39.552,7.872
,Mixed / non conventional,72.00,65.00,15.00,23.00,369859.25,0.12,0.00,1.13,434.551,7.810
,Mixed / non conventional,72.00,65.00,23.00,14.00,622096.38,0.11,0.00,-229.32,-800.250,7.810
,Mixed / non conventional,72.00,65.00,14.00,5.00,3156274.50,0.19,0.00,-55.97,-2469.963,7.865
,Mixed / non conventional,72.00,65.00,34.00,43.00,69406.36,0.30,0.00,184.54,433.587,7.804
,Mixed / non conventional,72.00,65.00,43.00,36.00,170310.33,0.30,0.00,-24.27,-902.599,7.804
,Mixed / non conventional,72.00,65.00,52.00,61.00,1184.37,0.88,0.00,120.82,194.639,7.813
,Mixed / non conventional,72.00,65.00,61.00,54.00,5203.59,0.90,0.00,-129.84,-800.613,7.813
,Mixed / non conventional,72.00,65.00,54.00,45.00,10485.39,0.58,0.00,139.57,-292.184,7.820
,Mixed / non conventional,72.00,65.00,45.00,36.00,52864.04,0.58,0.00,-36.47,-411.719,7.820
,Mixed / non conventional,72.00,65.00,36.00,29.00,284911.94,0.31,0.00,-35.47,-775.416,7.833
,Mixed / non conventional,72.00,65.00,44.00,53.00,14153.34,0.20,0.00,-190.16,331.555,7.830
,Mixed / non conventional,72.00,65.00,53.00,62.00,665.60,0.21,0.00,245.88,168.084,7.830
,Mixed / non conventional,72.00,65.00,28.00,37.00,118211.59,0.23,0.00,-183.65,418.213,7.819
,Mixed / non conventional,72.00,65.00,37.00,46.00,43912.57,0.23,0.00,-67.18,383.985,7.819
