,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,54.00,46.00,17472.25,0.12,0.00,-13.76,-67.456,1.145
,Mixed / non conventional,72.00,65.00,46.00,38.00,57583.69,0.62,0.00,42.13,-50.659,0.845
,Mixed / non conventional,72.00,65.00,38.00,30.00,161662.88,0.63,0.00,65.21,-62.223,0.845
,Mixed / non conventional,72.00,65.00,30.00,21.00,381964.56,0.40,0.00,-80.69,-49.957,0.500
,Mixed / non conventional,72.00,65.00,21.00,13.00,1005208.88,0.40,0.00,175.39,-67.062,0.500
,Mixed / non conventional,72.00,65.00,13.00,5.00,3431451.00,1.62,0.00,-121.77,-47.801,0.162
,Mixed / non conventional,72.00,65.00,68.00,69.00,3681.68,0.14,0.00,-71.58,-49.798,0.510
,Mixed / non conventional,72.00,65.00,43.00,51.00,55572.66,0.41,0.00,-23.01,49.674,0.437
,Mixed / non conventional,72.00,65.00,51.00,59.00,13567.10,0.40,0.00,90.62,62.284,0.437
,Mixed / non conventional,72.00,65.00,59.00,67.00,3186.71,0.83,0.00,-91.18,104.444,0.979
,Mixed / non conventional,72.00,65.00,67.00,58.00,-1422.50,0.82,0.00,-318.92,50.683,0.979
,Mixed / non conventional,72.00,65.00,58.00,49.00,14894.20,0.44,0.00,-20.07,-49.556,0.399
,Mixed / non conventional,72.00,65.00,49.00,42.00,161644.78,0.43,0.00,168.61,-91.098,0.399
,Mixed / non conventional,72.00,65.00,60.00,68.00,-14969.43,0.10,0.00,118.82,81.408,1.025
,Mixed / non conventional,72.00,65.00,68.00,59.00,48514.45,0.10,0.00,200.94,50.737,1.025
,Mixed / non conventional,72.00,65.00,59.00,50.00,3459.70,0.11,0.00,-375.11,-42.982,1.139
,Mixed / non conventional,72.00,65.00,50.00,41.00,50268.33,0.09,0.00,7.42,-107.563,1.139
,Mixed / non conventional,72.00,65.00,53.00,61.00,3360.58,0.21,0.00,62.28,56.932,0.829
,Mixed / non conventional,72.00,65.00,61.00,69.00,-1581.56,0.21,0.00,18.10,50.591,0.829
,Mixed / non conventional,72.00,65.00,69.00,60.00,554.09,0.19,0.00,-47.27,19.997,1.134
,Mixed / non conventional,72.00,65.00,60.00,51.00,785.86,0.22,0.00,229.87,-13.168,1.134
,Mixed / non conventional,72.00,65.00,51.00,42.00,23114.10,1.35,0.00,-170.01,-50.802,1.011
,Mixed / non conventional,72.00,65.00,42.00,35.00,252999.25,1.35,0.00,225.89,-156.208,1.011
,Mixed / non conventional,72.00,65.00,35.00,28.00,440608.63,1.14,0.00,-156.67,-49.486,0.352
