,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,47.00,40.00,62796.15,0.21,0.00,144.42,-76.185,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,32.00,96933.82,0.22,0.00,-215.02,-59.564,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,31.00,357302.28,0.20,0.00,16.55,-17.931,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,24.00,214548.70,0.20,0.00,-212.21,-56.017,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,24.00,23.00,1080406.38,0.20,0.00,179.03,-29.959,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,23.00,16.00,216495.63,0.20,0.00,-205.47,-32.818,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,7.00,1098805.88,0.20,0.00,43.88,-135.991,1.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,58.00,-55028.23,0.63,0.00,-723.65,54.343,0.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,57.00,-71171.32,0.64,0.00,-63.32,50.253,0.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,57.00,49.00,44679.79,0.63,0.00,-46.44,-94.706,0.339,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,60.00,-11149.85,0.77,0.00,-59.04,50.104,0.666,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,56.00,1092.25,0.54,0.00,-57.83,-65.534,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,55.00,-8716.63,0.56,0.00,35.37,11.427,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,54.00,-33933.49,0.54,0.00,-359.82,34.840,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,53.00,-55919.95,0.52,0.00,-9.60,45.867,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,45.00,27146.26,0.53,0.00,69.44,-84.908,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,37.00,96804.44,0.53,0.00,-69.53,-99.343,1.108,MA72B65Rec
