,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,23.00,31.00,301548.88,0.25,0.00,27.28,275.465,3.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,30.00,339706.28,0.24,0.00,-123.23,-49.727,3.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,22.00,440198.59,0.19,0.00,3.40,-49.033,0.465,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,48.00,42757.39,0.11,0.00,-319.28,240.628,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,47.00,-46595.68,0.10,0.00,154.94,49.948,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,39.00,55003.03,0.11,0.00,-3.86,-272.361,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,31.00,148994.89,0.10,0.00,-30.50,-312.885,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,22.00,442216.88,0.11,0.00,-120.62,-522.702,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,14.00,802729.56,0.11,0.00,-90.88,-477.906,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,6.00,2007252.00,0.12,0.00,78.74,-764.333,4.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,40.00,-46196.62,0.07,0.00,168.44,-20.787,4.780,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,31.00,118237.85,0.04,0.00,-199.69,-335.368,4.780,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,39.00,-68819.30,0.03,0.00,127.14,-27.947,4.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,64.00,306.69,0.17,0.00,111.81,154.160,3.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,64.00,63.00,-252.20,0.17,0.00,12.31,74.573,3.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,55.00,898.66,0.17,0.00,-60.37,-190.068,3.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,46.00,8100.96,0.16,0.00,-309.42,-133.075,3.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,47.00,-59318.54,0.19,0.00,268.02,-49.991,3.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,56.00,7110.81,0.16,0.00,-22.30,48.718,1.302,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,48.00,9819.00,0.17,0.00,-132.42,-64.014,1.302,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,39.00,36718.69,0.16,0.00,153.00,-68.482,1.302,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,32.00,127349.34,0.17,0.00,-61.25,-75.371,1.302,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,23.00,307893.97,0.16,0.00,9.64,-121.357,1.302,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,52.00,-148623.56,0.98,0.00,-106.93,-65.127,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,44.00,40477.92,0.98,0.00,-88.88,-85.557,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,35.00,63728.07,0.98,0.00,310.41,-50.213,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,27.00,318165.03,0.97,0.00,-101.32,-99.083,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,18.00,256109.30,0.98,0.00,-313.61,-48.138,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,11.00,1727373.50,0.98,0.00,170.39,-153.889,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,4.00,8330607.50,0.97,0.00,9.95,-512.967,0.884,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,69.00,2139.77,0.15,0.00,-49.18,47.946,0.650,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,60.00,-31736.78,0.24,0.00,-301.96,-139.331,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,60.00,52.00,6252.73,0.23,0.00,55.91,-91.503,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,43.00,18857.15,0.24,0.00,293.71,-49.049,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,35.00,143411.81,0.23,0.00,-73.32,-109.105,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,26.00,198222.55,0.23,0.00,-387.16,-77.718,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,19.00,875131.75,0.23,0.00,50.28,-147.083,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,12.00,2155477.00,0.23,0.00,147.35,-235.476,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,3.00,512532.94,0.22,0.00,-66.23,-47.219,1.025,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,62.00,-5153.72,0.22,0.00,65.02,-169.574,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1397.89,0.21,0.00,113.70,-96.370,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,54.00,316.16,0.22,0.00,-327.43,-49.536,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,46.00,19747.21,0.23,0.00,-41.61,-185.391,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,38.00,69090.66,0.22,0.00,138.02,-200.401,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,30.00,206877.42,0.21,0.00,-23.88,-262.528,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,21.00,455821.88,0.22,0.00,-72.97,-331.803,2.785,MA72B65Rec
,Mixed / non conventional,72.00,65.00,21.00,13.00,1203748.13,0.22,0.00,114.04,-446.960,2.785,MA72B65Rec
