,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,51.00,59.00,13279.02,0.22,0.00,48.54,48.474,0.348
,Mixed / non conventional,72.00,65.00,59.00,67.00,3200.61,0.13,0.00,-65.72,119.287,1.114
,Mixed / non conventional,72.00,65.00,67.00,58.00,-1110.32,0.13,0.00,-259.07,44.987,1.114
,Mixed / non conventional,72.00,65.00,58.00,49.00,15023.12,0.40,0.00,-21.32,-39.214,0.313
,Mixed / non conventional,72.00,65.00,49.00,42.00,160139.86,0.35,0.00,205.88,-70.804,0.313
,Mixed / non conventional,72.00,65.00,60.00,68.00,-15131.21,0.27,0.00,109.25,94.143,1.173
,Mixed / non conventional,72.00,65.00,68.00,59.00,37898.70,0.26,0.00,138.84,45.346,1.173
,Mixed / non conventional,72.00,65.00,59.00,50.00,3883.61,0.39,0.00,-293.09,-45.535,1.075
,Mixed / non conventional,72.00,65.00,50.00,41.00,50638.34,0.38,0.00,2.80,-102.260,1.075
,Mixed / non conventional,72.00,65.00,53.00,61.00,3374.75,0.28,0.00,26.64,48.993,0.710
,Mixed / non conventional,72.00,65.00,61.00,69.00,-1601.10,0.30,0.00,-14.28,43.890,0.710
,Mixed / non conventional,72.00,65.00,69.00,60.00,355.73,0.19,0.00,-48.10,49.960,4.412
,Mixed / non conventional,72.00,65.00,60.00,51.00,1218.36,0.17,0.00,201.86,-79.444,4.412
,Mixed / non conventional,72.00,65.00,51.00,42.00,24857.35,0.49,0.00,-91.51,-46.065,0.852
,Mixed / non conventional,72.00,65.00,42.00,35.00,249135.58,0.50,0.00,173.05,-129.698,0.852
,Mixed / non conventional,72.00,65.00,35.00,28.00,438605.00,0.27,0.00,-115.14,-40.032,0.286
,Mixed / non conventional,72.00,65.00,54.00,62.00,1610.80,0.13,0.00,389.05,47.677,0.939
,Mixed / non conventional,72.00,65.00,62.00,70.00,-563.72,0.14,0.00,-106.45,44.948,0.939
,Mixed / non conventional,72.00,65.00,70.00,61.00,142.21,0.31,0.00,-177.84,50.236,4.835
,Mixed / non conventional,72.00,65.00,15.00,23.00,438342.84,0.62,0.00,-30.64,45.287,0.687
,Mixed / non conventional,72.00,65.00,23.00,14.00,791255.13,0.65,0.00,-140.27,-89.503,0.687
,Mixed / non conventional,72.00,65.00,14.00,5.00,4078485.00,0.80,0.00,18.39,-55.256,0.136
,Mixed / non conventional,72.00,65.00,34.00,43.00,73565.74,0.40,0.00,289.59,44.024,0.748
,Mixed / non conventional,72.00,65.00,43.00,36.00,200077.30,0.41,0.00,-248.86,-101.577,0.748
,Mixed / non conventional,72.00,65.00,52.00,61.00,607.54,0.09,0.00,-40.38,49.798,3.897
,Mixed / non conventional,72.00,65.00,61.00,54.00,5454.71,0.05,0.00,-98.16,-418.584,3.897
,Mixed / non conventional,72.00,65.00,54.00,45.00,8718.54,0.22,0.00,119.88,-47.572,1.531
,Mixed / non conventional,72.00,65.00,45.00,36.00,53210.59,0.24,0.00,26.62,-81.148,1.531
,Mixed / non conventional,72.00,65.00,36.00,29.00,349618.16,0.36,0.00,-20.27,-41.535,0.342
,Mixed / non conventional,72.00,65.00,44.00,53.00,11497.85,0.61,0.00,-43.07,172.032,5.001
,Mixed / non conventional,72.00,65.00,53.00,62.00,312.56,0.64,0.00,309.47,50.413,5.001
,Mixed / non conventional,72.00,65.00,28.00,37.00,147984.91,0.24,0.00,-189.60,61.265,0.915
,Mixed / non conventional,72.00,65.00,37.00,46.00,45449.38,0.21,0.00,-60.18,46.506,0.915
,Mixed / non conventional,72.00,65.00,46.00,39.00,64696.98,0.13,0.00,196.43,-44.870,0.725
,Mixed / non conventional,72.00,65.00,39.00,30.00,145938.27,0.12,0.00,-36.40,-57.188,0.725
